Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1692, Accuracy: 46.33%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5354, Accuracy: 49.18%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.6879, Accuracy: 45.10%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.6859, Accuracy: 46.33%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1323, Accuracy: 54.49%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0649, Accuracy: 54.69%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0568, Accuracy: 53.47%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0534, Accuracy: 54.29%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0517, Accuracy: 57.14%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0527, Accuracy: 55.71%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0741, Accuracy: 54.69%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0854, Accuracy: 55.92%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0904, Accuracy: 55.31%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2513, Accuracy: 50.61%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.3226, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.5770, Accuracy: 27.55%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1275, Accuracy: 51.84%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0860, Accuracy: 51.63%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0682, Accuracy: 54.49%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0298, Accuracy: 55.71%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0314, Accuracy: 56.94%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0440, Accuracy: 55.92%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0653, Accuracy: 52.45%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0664, Accuracy: 53.88%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0694, Accuracy: 53.06%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1361, Accuracy: 51.84%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.2036, Accuracy: 50.82%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.3196, Accuracy: 49.18%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0676, Accuracy: 52.86%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0898, Accuracy: 52.86%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0579, Accuracy: 52.04%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0500, Accuracy: 54.49%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0408, Accuracy: 54.90%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0593, Accuracy: 53.06%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0998, Accuracy: 54.90%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1639, Accuracy: 55.31%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2622, Accuracy: 49.18%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7136, Accuracy: 29.80%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7504, Accuracy: 30.82%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.9131, Accuracy: 11.43%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0934, Accuracy: 54.29%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1010, Accuracy: 53.27%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0716, Accuracy: 51.84%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0114, Accuracy: 56.12%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0282, Accuracy: 57.55%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0236, Accuracy: 55.31%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0608, Accuracy: 53.67%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0815, Accuracy: 53.27%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0696, Accuracy: 54.90%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1758, Accuracy: 52.24%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2793, Accuracy: 50.20%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.6702, Accuracy: 29.59%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0914, Accuracy: 52.45%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1035, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0690, Accuracy: 53.67%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0552, Accuracy: 57.35%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0453, Accuracy: 55.92%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0126, Accuracy: 57.14%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0327, Accuracy: 56.73%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0495, Accuracy: 54.29%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0525, Accuracy: 54.90%
Batch Size: 16, Hidden Layers: [4], Activation: tanh, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1039, Accuracy: 56.73%
Batch Size: 32, Hidden Layers: [4], Activation: tanh, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1807, Accuracy: 52.04%
Batch Size: 64, Hidden Layers: [4], Activation: tanh, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.2359, Accuracy: 51.84%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0942, Accuracy: 53.06%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1307, Accuracy: 56.94%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1183, Accuracy: 51.22%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0778, Accuracy: 53.88%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0673, Accuracy: 53.06%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0718, Accuracy: 54.69%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1065, Accuracy: 53.27%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1179, Accuracy: 53.47%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2175, Accuracy: 51.02%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.8057, Accuracy: 7.76%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5328, Accuracy: 41.63%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.7037, Accuracy: 13.06%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1767, Accuracy: 51.22%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1329, Accuracy: 48.37%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1015, Accuracy: 53.06%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0864, Accuracy: 52.04%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0755, Accuracy: 53.47%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0769, Accuracy: 51.43%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0777, Accuracy: 53.47%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0758, Accuracy: 53.67%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0809, Accuracy: 55.31%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.1457, Accuracy: 56.53%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.3289, Accuracy: 48.37%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.4542, Accuracy: 45.10%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1820, Accuracy: 50.61%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1336, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0799, Accuracy: 51.22%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0781, Accuracy: 53.47%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0736, Accuracy: 52.65%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0676, Accuracy: 52.65%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0779, Accuracy: 54.08%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0752, Accuracy: 53.67%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0721, Accuracy: 54.29%
Batch Size: 16, Hidden Layers: [4], Activation: linear, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1142, Accuracy: 53.27%
Batch Size: 32, Hidden Layers: [4], Activation: linear, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1768, Accuracy: 51.84%
Batch Size: 64, Hidden Layers: [4], Activation: linear, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.4164, Accuracy: 41.43%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0722, Accuracy: 52.45%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0741, Accuracy: 50.61%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0360, Accuracy: 55.31%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0880, Accuracy: 50.61%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0741, Accuracy: 54.08%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0336, Accuracy: 53.47%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1532, Accuracy: 53.67%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2724, Accuracy: 53.88%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.5572, Accuracy: 38.78%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.5715, Accuracy: 49.39%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.6341, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.6212, Accuracy: 49.18%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1165, Accuracy: 53.06%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0487, Accuracy: 55.51%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0460, Accuracy: 49.18%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0043, Accuracy: 54.69%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0483, Accuracy: 54.90%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.01, Epochs: 50, Validation Loss (MSE): 0.9907, Accuracy: 56.94%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0170, Accuracy: 56.53%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0689, Accuracy: 55.92%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.1011, Accuracy: 52.86%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2904, Accuracy: 48.98%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.4750, Accuracy: 49.18%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.6101, Accuracy: 27.55%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0808, Accuracy: 51.22%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0556, Accuracy: 52.86%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0761, Accuracy: 54.90%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0130, Accuracy: 53.88%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0014, Accuracy: 56.53%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0272, Accuracy: 56.53%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0377, Accuracy: 57.14%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0708, Accuracy: 54.29%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0439, Accuracy: 56.12%
Batch Size: 16, Hidden Layers: [4], Activation: softmax, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1321, Accuracy: 51.02%
Batch Size: 32, Hidden Layers: [4], Activation: softmax, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.2116, Accuracy: 51.02%
Batch Size: 64, Hidden Layers: [4], Activation: softmax, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.3125, Accuracy: 50.82%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1123, Accuracy: 53.67%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0624, Accuracy: 55.92%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0040, Accuracy: 57.55%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0299, Accuracy: 55.92%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0305, Accuracy: 54.08%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0516, Accuracy: 54.08%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.0875, Accuracy: 53.67%
Batch Size: 32, Hidden Layers: [8], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1200, Accuracy: 51.63%
Batch Size: 64, Hidden Layers: [8], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2621, Accuracy: 48.57%
Batch Size: 16, Hidden Layers: [8], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.6375, Accuracy: 30.41%
